,cosmicRay,interstellarRad,iDens,fTemp,outputFile,abundLoadFile,run_result,elements_conserved,Successful
20,10.0,1000.0,1000000.0,300.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_1000000.0_300.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse1000000.0_10.0_1000.0.dat,1,True,True
21,10.0,1000.0,10000000.0,50.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_10000000.0_50.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse10000000.0_10.0_1000.0.dat,1,True,True
22,10.0,1000.0,10000000.0,100.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_10000000.0_100.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse10000000.0_10.0_1000.0.dat,1,True,True
23,10.0,1000.0,10000000.0,300.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_10000000.0_300.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse10000000.0_10.0_1000.0.dat,1,True,True
24,10.0,1000.0,100000000.0,50.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_100000000.0_50.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse100000000.0_10.0_1000.0.dat,1,True,True
25,10.0,1000.0,100000000.0,100.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_100000000.0_100.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse100000000.0_10.0_1000.0.dat,1,True,True
26,10.0,1000.0,100000000.0,300.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/10.0_1000.0_100000000.0_300.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse100000000.0_10.0_1000.0.dat,1,True,True
27,1000.0,1000.0,1000000.0,50.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_1000000.0_50.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse1000000.0_1000.0_1000.0.dat,1,True,True
28,1000.0,1000.0,1000000.0,100.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_1000000.0_100.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse1000000.0_1000.0_1000.0.dat,1,True,True
29,1000.0,1000.0,1000000.0,300.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_1000000.0_300.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse1000000.0_1000.0_1000.0.dat,1,True,True
30,1000.0,1000.0,10000000.0,50.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_10000000.0_50.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse10000000.0_1000.0_1000.0.dat,1,True,True
31,1000.0,1000.0,10000000.0,100.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_10000000.0_100.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse10000000.0_1000.0_1000.0.dat,1,True,True
32,1000.0,1000.0,10000000.0,300.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_10000000.0_300.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse10000000.0_1000.0_1000.0.dat,1,True,True
33,1000.0,1000.0,100000000.0,50.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_100000000.0_50.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse100000000.0_1000.0_1000.0.dat,1,True,True
34,1000.0,1000.0,100000000.0,100.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_100000000.0_100.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse100000000.0_1000.0_1000.0.dat,1,True,True
35,1000.0,1000.0,100000000.0,300.0,/data2/LEAPS-2024/Grid/2024-07-01_134429/modelData/1000.0_1000.0_100000000.0_300.0.dat,/data2/LEAPS-2024/Grid/2024-07-01_134429/startData/startcollapse100000000.0_1000.0_1000.0.dat,1,True,True
