,Time,Density,gasTemp,av,zeta,radfield,shockVel,CH3OH,runName,N_CH3OH,Time_log,Density_log,gasTemp_log,av_log,zeta_log,radfield_log,shockVel_log,CH3OH_log,cosmicRay,interstellarRad,iDens,shockVel_str,normalizedTime,normalizedTime_log
0,0.0,1000.0,15.0,2.9644,10.0,1000.0,40.0,2.62773e-12,10.0_1000.0_1000.0_40.0.dat,12463428499.2,-inf,3.0,1.1760912590556813,0.471936804594729,1.0,3.0,1.6020599913279625,-11.580419260700587,10.0,1000.0,1000.0,40.0,0.0,-inf
1,117.2,1001.2,15.0,2.9644,10.0,1000.0,40.0,2.96291e-12,10.0_1000.0_1000.0_40.0.dat,14053200646.4,2.0689276116820716,3.0005208409361854,1.1760912590556813,0.471936804594729,1.0,3.0,1.6020599913279625,-11.52828154025029,10.0,1000.0,1000.0,40.0,0.00011046182846371348,-3.956787772219269
2,234.4,1004.9,15.05,2.9656,10.0,1000.0,40.0,2.98724e-12,10.0_1000.0_1000.0_40.0.dat,14174334310.4,2.369957607346053,3.002122846225162,1.1775364999298623,0.4721125730215072,1.0,3.0,1.6020599913279625,-11.524729884028444,10.0,1000.0,1000.0,40.0,0.00022092365692742697,-3.6557577765552876
3,351.6,1011.1,15.32,2.9691,10.0,1000.0,40.0,3.02473e-12,10.0_1000.0_1000.0_40.0.dat,14369161348.8,2.5460488664017342,3.004794110388712,1.1852587652965851,0.47262482498466873,1.0,3.0,1.6020599913279625,-11.519313386215973,10.0,1000.0,1000.0,40.0,0.00033138548539114043,-3.479666517499606
4,468.8,1019.6,16.24,2.975,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,2.670987603010034,3.00842982679723,1.2105860249051565,0.4734869700645684,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.00044184731385485393,-3.3547277808913063
5,585.9,1030.4,18.41,2.9832,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,2.767823498007517,3.013005850015737,1.2650537885040147,0.4746823703532508,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.000552214891611687,-3.257891885893824
6,703.1,1043.4,22.62,2.9936,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,2.847017097935354,3.018450832386356,1.3544926005894364,0.47619377015593467,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0006626767200754006,-3.1786982859659862
7,820.3,1058.5,29.74,3.0062,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,2.9139727115509713,3.0246908623554307,1.4733409641859354,0.478017870464792,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.000773138548539114,-3.1117426723503696
8,937.5,1075.6,40.65,3.0208,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,2.9719712763997563,3.0316507935512638,1.609060549930087,0.48012197261797496,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0008836003770028275,-3.053744107501584
9,1055.0,1094.6,56.11,3.0373,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.0232524596337114,3.039255443806486,1.7490402687034572,0.4824876901434687,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.000994344957587182,-3.002462924267629
10,1172.0,1115.4,76.78,3.0556,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.0689276116820716,3.047430640155542,1.885248107781386,0.4850965013556422,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0011046182846371347,-2.956787772219269
11,1289.0,1137.8,103.1,3.0757,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.110252917353403,3.0560659294317527,2.0132586652835167,0.4879439726448528,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0012148916116870878,-2.915462466547938
12,1406.0,1161.7,135.32,3.0973,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.147985320683805,3.0650939893571523,2.131361989115943,0.49098327252972734,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0013251649387370406,-2.8777300632175353
13,1523.0,1187.1,173.48,3.1204,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.182699903336043,3.07448730498569,2.2392494134767245,0.4942102692293264,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0014354382657869934,-2.843015480565298
14,1641.0,1213.7,217.44,3.1448,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.215108581053093,3.084111351940677,2.337339439388419,0.49759303081203277,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0015466540999057492,-2.8106068028482474
15,1758.0,1241.4,266.9,3.1704,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.245018870737753,3.093911741049378,2.4263485737875077,0.5011140593261332,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0016569274269557022,-2.7806965131635875
16,1875.0,1270.3,321.43,3.1972,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.2730012720637376,3.103906298088718,2.5070864082905135,0.5047698042978395,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.001767200754005655,-2.752714111837603
17,1992.0,1300.1,380.5,3.225,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.29928933408768,3.1139767582898465,2.5803546611065915,0.5085297189712865,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0018774740810556078,-2.7264260498136608
18,2109.0,1330.7,443.53,3.2537,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.3240765797394864,3.1240801568797,2.6469230004784947,0.5123775073129307,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.001987747408105561,-2.7016388041618544
19,2227.0,1362.2,509.87,3.2833,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.347720217034038,3.13424087594659,2.707459459471399,0.5163105666745335,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0020989632422243167,-2.6779951668673023
20,2344.0,1394.3,578.89,3.3136,10.0,1000.0,40.0,,10.0_1000.0_1000.0_40.0.dat,,3.369957607346053,3.1443562273681835,2.7625960474380595,0.5203000815493775,1.0,3.0,1.6020599913279625,,10.0,1000.0,1000.0,40.0,0.0022092365692742695,-2.6557577765552876
